Rank,Name,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2023 (€),Revenue 2020 (€),Number of employees 2023,Number of employees 2020,Founding year
76,Aqualy,Italy,Food & Beverages,"2,179.2",183.5,"6,208,641","272,399",15,5,2019
77,Ancient + Brave,UK,Health Care & Life Sciences,"2,176.3",183.4,"11,762,224","500,574",29,3,2018
78,Lifeaz,France,Wholesale,"2,139.3",181.9,"4,448,058","198,640",33,19,2015
79,Euro Impianti 20,Italy,Construction & Engineering,"2,106.5",180.5,"7,257,089","328,903",93,11,2020
80,Koll Facility Management & Projektabwicklung,Germany,Construction & Engineering,"2,087.2",179.7,"7,914,834","361,866",4,2,2011
81,Kicket.com,Poland,Leisure & Entertainment,"2,072.4",179,"4,469,652","195,749",10,8,2015
82,Finanza.tech,Italy,"Fintech, Financial Services & Insurance","2,040.2",177.6,"9,986,549","466,612",39,17,2012
83,Skinport,Germany,IT & Software,"2,027.1",177.1,"19,498,648","916,668",11,1,2018
84,WeDiscover,UK,Advertising & Marketing,"2,018.6",176.7,"2,551,307","116,660",25,3,2020
85,Inpulse,France,"Professional, Scientific & Technical Services","1,999.4",175.9,"2,100,979","100,076",35,6,2018
86,Solar Energy Mitte,Germany,Energy & Utilities,"1,985.2",175.2,"13,111,248","628,778",25,8,2011
87,Coccia Costruzioni,Italy,Construction & Engineering,"1,916.5",172.2,"111,628,943","5,535,649",60,15,2008
88,Foredil,Italy,Construction & Engineering,"1,863.6",169.8,"67,135,748","3,418,950",21,22,2014
89,MCS Formulas,Netherlands,Food & Beverages,"1,826.8",168.1,"2,025,431","105,120",5,1,2019
90,Veremark,UK,"Professional, Scientific & Technical Services","1,760.4",165,"4,259,894","221,815",122,13,2018
91,Energy Solutions,Italy,Energy & Utilities,"1,748.2",164.4,"39,524,930","2,138,536",21,3,2017
92,O.C. Hairsystems,Germany,"Professional, Scientific & Technical Services","1,729.2",163.5,"7,866,985","430,088",75,5,2019
93,BeInfluence Europe,Belgium,Advertising & Marketing,"1,659.4",160.1,"3,870,700","220,000",28,6,2019
94,Time Vision,Italy,Education & Social Services,"1,636.6",159,"2,216,148","127,616",40,6,2019
95,Appostrophe,Sweden,IT & Software,"1,607.8",157.5,"9,983,050","647,768",10,2,2016
96,Yoto,UK,IT & Software,"1,606.3",157.4,"58,814,859","3,339,096",113,28,2015
97,RG Finance,Germany,Management consulting,"1,593.3",156.8,"3,023,161","178,538",18,6,2019
98,PromoXL,Netherlands,Advertising & Marketing,"1,575.3",155.9,"1,872,111","111,751",5,2,2020
99,Jobtech,Italy,Employment Services,"1,570.6",155.6,"1,801,040","107,805",44,14,2019
100,Vanbat,Italy,Waste Management & recycling,"1,558",155,"10,818,963","652,534",6,2,2017
101,Mac Recruit Group,UK,Employment Services,"1,557.6",155,"4,809,501","281,083",10,6,2018
102,La Belle Equipe,France,Employment Services,"1,555.9",154.9,"5,395,658","325,852",17,6,2018
103,Snowit,Italy,Leisure & Entertainment,"1,544.5",154.3,"14,090,000","856,800",42,13,2016
104,Newark Engineering,Italy,Construction & Engineering,"1,542.5",154.2,"19,390,899","1,180,547",13,2,2009
105,X-Win,Italy,Energy & Utilities,"1,534.5",153.8,"34,644,195","2,119,511",10,6,2013
106,Work4You,France,"Professional, Scientific & Technical Services","1,497.9",151.9,"20,087,760","1,257,163",51,0,2018
107,Wild Cosmetics,UK,Ecommerce,"1,494.2",151.7,"52,835,133","3,210,580",71,10,2020
108,Radical Storage,Italy,Hospitality & Travel,"1,494.2",151.7,"4,471,293","280,477",15,15,2016
109,Enerix Westerwald-Bonn,Germany,Electrical Manufacturing,"1,470.5",150.4,"31,018,181","1,975,010",176,21,2020
110,Moneybox,UK,"Fintech, Financial Services & Insurance","1,431.1",148.3,"89,097,799","5,637,405",333,171,2015
111,Revù clinic,Lithuania,Health Care & Life Sciences,"1,371.3",145,"5,371,651","365,091",83,17,2013
112,Titanbay,UK,"Fintech, Financial Services & Insurance","1,346",143.6,"1,884,678","126,261",50,15,2019
113,Flease,France,"Professional, Scientific & Technical Services","1,323.6",142.4,"5,355,589","376,203",20,4,2018
114,Tecnologie Edili,Italy,Construction & Engineering,"1,315.9",141.9,"4,616,358","326,027",18,3,2008
115,181travel,Italy,Hospitality & Travel,"1,304.7",141.3,"1,928,434","137,285",14,4,2015
116,DCF Verlag,Germany,Media & Telecommunications,"1,303.9",141.2,"4,386,932","312,487",19,5,2019
117,Gamian Consulting,Italy,Management consulting,"1,298.3",140.9,"3,672,689","262,660",14,4,2007
118,Hydrogen-Refueling-Solutions (HRS),France,Metals & Mining,"1,282.5",140,"30,082,007","2,175,916",122,29,2004
119,Archingest,Italy,Construction & Engineering,"1,274",139.5,"48,327,521","3,517,395",16,6,2005
